2026-05-28 17:30:54 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  il n'existe aucune contrainte unique ou contrainte d'exclusion correspondant à la spécification ON CONFLICT

2026-05-28 17:36:10 | INFO | run_etl:main:20 | ============================================================
2026-05-28 17:36:10 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 17:36:10 | INFO | run_etl:main:22 | ============================================================
2026-05-28 17:36:10 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 17:36:10 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 17:36:10 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 17:36:10 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 17:36:11 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 17:36:11 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 17:36:11 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 17:36:11 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 17:36:11 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 17:36:11 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 17:36:11 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 17:36:11 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 17:36:11 | INFO | load:run_full_load:266 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 17:36:11 | INFO | load:load_dim_temps:24 | Chargement dim_temps...
2026-05-28 17:36:11 | INFO | load:load_dim_temps:48 | ✅ 436 dates chargées
2026-05-28 17:36:11 | INFO | load:load_dim_vehicule:52 | Chargement dim_vehicule...
2026-05-28 17:36:12 | INFO | load:load_dim_vehicule:77 | ✅ 325 véhicules chargés
2026-05-28 17:36:12 | INFO | load:load_dim_assureur:81 | Chargement dim_assureur...
2026-05-28 17:36:12 | INFO | load:load_dim_assureur:95 | ✅ 7 assureurs chargés
2026-05-28 17:36:12 | INFO | load:load_dim_geographie:99 | Chargement dim_geographie...
2026-05-28 17:36:12 | INFO | load:load_dim_geographie:115 | ✅ 12 départements chargés
2026-05-28 17:36:12 | INFO | load:load_dim_conducteur:120 | Chargement dim_conducteur...
2026-05-28 17:36:12 | ERROR | connection:get_db_connection:30 | Erreur base de données: ERREUR:  entier en dehors des limites

2026-05-28 17:47:49 | INFO | run_etl:main:20 | ============================================================
2026-05-28 17:47:49 | INFO | run_etl:main:21 | DÉMARRAGE DU PIPELINE ETL - SINISTRES BTP
2026-05-28 17:47:49 | INFO | run_etl:main:22 | ============================================================
2026-05-28 17:47:49 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-28 17:47:49 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-28 17:47:49 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-28 17:47:49 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-28 17:47:49 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-28 17:47:49 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-28 17:47:49 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-28 17:47:49 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-28 17:47:49 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-28 17:47:49 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-28 17:47:49 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-28 17:47:49 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-28 17:47:49 | INFO | load:run_full_load:267 | === DÉBUT CHARGEMENT DWH ===
2026-05-28 17:47:49 | INFO | load:load_dim_temps:25 | Chargement dim_temps...
2026-05-28 17:47:50 | INFO | load:load_dim_temps:49 | ✅ 436 dates chargées
2026-05-28 17:47:50 | INFO | load:load_dim_vehicule:53 | Chargement dim_vehicule...
2026-05-28 17:47:50 | INFO | load:load_dim_vehicule:78 | ✅ 325 véhicules chargés
2026-05-28 17:47:50 | INFO | load:load_dim_assureur:82 | Chargement dim_assureur...
2026-05-28 17:47:50 | INFO | load:load_dim_assureur:96 | ✅ 7 assureurs chargés
2026-05-28 17:47:50 | INFO | load:load_dim_geographie:100 | Chargement dim_geographie...
